Date,Hostname (temp.),Hostname (Final),Success,Correct Hostname
12.06.2023 09:57:57:608 ,DOP-ESX-IXN023-DSSC,OP-ESX-IXN023,No,DOP-ESX-IXN023
12.06.2023 09:57:57:617 ,SIN-ESX-IXN01-DSSC,IN-ESX-IXN01,No,SIN-ESX-IXN01
12.06.2023 09:57:57:627 ,ce-esx-ze-as36-04,,N/A,ce-esx-ze-as36-04
12.06.2023 09:57:57:637 ,DOP-ESX-IXN005-new,,N/A,DOP-ESX-IXN005-new
12.06.2023 09:57:57:646 ,PJN-ESX-CYO001-DSSC,PJN-ESX-CYO001,Yes,PJN-ESX-CYO001
12.06.2023 09:57:57:656 ,ce-esx-fra16-5105-19-DSSC,ce-esx-fra16-5105-19,Yes,ce-esx-fra16-5105-19
12.06.2023 09:57:57:665 ,ce-esx-33-DSSC,ce-esx-33,Yes,ce-esx-33
12.06.2023 09:57:57:676 ,ce-bkp-ze-aw32-02,,N/A,ce-bkp-ze-aw32-02
12.06.2023 09:57:57:686 ,DOP-ESX-IXN036-DSSC,OP-ESX-IXN036,No,DOP-ESX-IXN036
12.06.2023 09:57:57:694 ,ce-esx-fra16-5106-20-DSSC,ce-esx-fra16-5106-20,Yes,ce-esx-fra16-5106-20
12.06.2023 09:57:57:703 ,ce-bkp-fra3-0104-01,,N/A,ce-bkp-fra3-0104-01
12.06.2023 09:57:57:713 ,DOP-ESX-IXN004-DSSC,OP-ESX-IXN004,No,DOP-ESX-IXN004
12.06.2023 09:57:57:722 ,ce-esx-ze-as36-09-DSSC,ce-esx-ze-as36-09,Yes,ce-esx-ze-as36-09
12.06.2023 09:57:57:732 ,DOP-ESX-IXN034-DSSC,OP-ESX-IXN034,No,DOP-ESX-IXN034
12.06.2023 09:57:57:742 ,ce-esx-26-DSSC,ce-esx-26,Yes,ce-esx-26
12.06.2023 09:57:57:752 ,DOP-ESX-IXN027-DSSC,OP-ESX-IXN027,No,DOP-ESX-IXN027
12.06.2023 09:57:57:762 ,ce-esx-fra16-5105-14-DSSC,ce-esx-fra16-5105-14,Yes,ce-esx-fra16-5105-14
12.06.2023 09:57:57:772 ,ce-esx-ze-aw32-07-DSSC,ce-esx-ze-aw32-07,Yes,ce-esx-ze-aw32-07
12.06.2023 09:57:57:782 ,DOP-ESX-IXN001-DSSC,OP-ESX-IXN001,No,DOP-ESX-IXN001
12.06.2023 09:57:57:793 ,DummyHost-DSSC,ummyHost,No,DummyHost
12.06.2023 09:57:57:804 ,GTD-ESX-CYO005-DSSC,GTD-ESX-CYO005,Yes,GTD-ESX-CYO005
12.06.2023 09:57:57:812 ,DOP-ESX-CYO049,,N/A,DOP-ESX-CYO049
12.06.2023 09:57:57:821 ,ce-esx-ze-as32-09-DSSC,ce-esx-ze-as32-09,Yes,ce-esx-ze-as32-09
12.06.2023 09:57:57:833 ,DOP-ESX-CYO018-DSSC,OP-ESX-CYO018,No,DOP-ESX-CYO018
12.06.2023 09:57:57:842 ,DOP-ESX-CYO005-new,,N/A,DOP-ESX-CYO005-new
12.06.2023 09:57:57:851 ,ce-esx-ze-as32-11-DSSC,ce-esx-ze-as32-11,Yes,ce-esx-ze-as32-11
12.06.2023 09:57:57:862 ,ce-esx-fra6-2tb3-11-DSSC,ce-esx-fra6-2tb3-11,Yes,ce-esx-fra6-2tb3-11
12.06.2023 09:57:57:872 ,DOP-ESX-IXN051,,N/A,DOP-ESX-IXN051
12.06.2023 09:57:57:884 ,DLR-ESX-IXN01-DSSC,LR-ESX-IXN01,No,DLR-ESX-IXN01
12.06.2023 09:57:57:897 ,ce-esx-fra16-5105-20-DSSC,ce-esx-fra16-5105-20,Yes,ce-esx-fra16-5105-20
